"Round",1,2,3,4,5
220,0.059339389547591756,0.06158215931908897,0.038793600191989006,0.02456954161415275,0.021182432185323945
230,0.057846910580518884,0.06129062618733572,0.03928170645108454,0.024828933350181916,0.021217352269654592
240,0.061407555548441475,0.062287640602287093,0.03980427994258234,0.025101374772671128,0.021323962918495462
250,0.059663677570803264,0.062204428926928464,0.040067642149023176,0.025168386938990265,0.021345910957635626
260,0.05878177305845007,0.06266074190764245,0.04073653095569372,0.025686965704110002,0.021527458755531286
270,0.05886690529936616,0.06396901637608408,0.041768151499919776,0.026141673842147578,0.021756463249680946
280,0.058984458417803316,0.06459729193231172,0.04214186904245618,0.026444223058661297,0.021854153304240325
290,0.05978300989340868,0.06496769029211097,0.04230636753348669,0.026482337833867848,0.021835723044164645
300,0.06036227815263649,0.06653000517820086,0.04335946559302891,0.027049970261162397,0.02212339076084958
310,0.0620557648810176,0.06947569038072461,0.04594542985343784,0.02899294137325335,0.023048878820215172
320,0.06198636085638506,0.068916824256332,0.0457999416251488,0.029043212145771574,0.023105289277183836
330,0.06051027539764611,0.06981022716721245,0.04668775166340542,0.029574316673346156,0.023377940336303298
340,0.06295646532504806,0.0731283646127508,0.04969272658511459,0.03204578249555539,0.024713978309047112
350,0.12000622518695707,0.08495671642793864,0.04904789477406179,0.03044033805067695,0.02345262340017804
360,0.06007475942964784,0.0674791652989683,0.04553221705611279,0.02936097512689666,0.023464728543919698
370,0.0715688104578043,0.06970244979759489,0.045748888664252696,0.029394774149574025,0.023390306194990912
380,0.0660599340234228,0.06607634961962502,0.04375561439538328,0.028173274701008957,0.02284870141546816
390,0.07641730360683606,0.06981363491653755,0.04467783419681442,0.028685446226309034,0.022845271756955166
400,0.06933991911445901,0.06740677094191919,0.04423867344350968,0.02854625142415604,0.02275917382212744
410,0.07255632297848374,0.06521130823920938,0.041448540906855826,0.026453230822847895,0.0218412377261216
420,0.06366261773184212,0.0634420624311368,0.040912867645801855,0.026440174178878794,0.021978074104515122
430,0.06743026892911771,0.062289183267003646,0.03965534620159026,0.02558120556325975,0.021677758747561282
440,0.1253849761878386,0.08161151357557936,0.04352012290583274,0.02646311798835492,0.02170255200321556
450,0.1144035342462561,0.07867498267961037,0.04296793825015009,0.02598630755368986,0.021513796739812543
460,0.16478572645672565,0.10331759857938622,0.04879060055334333,0.027212844061453346,0.021887613802356643
470,0.20798246621101063,0.12338306026094994,0.06000051325451979,0.034048463349054786,0.0250178086096312
480,0.19800046885280878,0.14006064277922653,0.08649179555308739,0.05658656696524072,0.03897325321337327
490,0.12541594558308883,0.08727967327291994,0.04900769714619912,0.029747074909161658,0.023086449455536062
500,0.09382757099796715,0.07610479165281886,0.04641679348335898,0.029487349511462663,0.02330760047294869
510,0.07795235572025175,0.07361679563398174,0.04399768722052172,0.027882275972131963,0.02266630484391204
520,0.08422977676471541,0.07563612817125784,0.045653210863856444,0.029113072390051713,0.023236772659695527
530,0.05091306476071617,0.06024647714672285,0.03946263212931427,0.026156432791374484,0.021981505282657098
540,0.0843099505238762,0.07459114649465522,0.04050843108861163,0.025390024053611182,0.021539243299905853
550,0.054547739080863245,0.06069401517227164,0.03682163573358357,0.024132496967662377,0.021093106832680293
560,0.037802295858436565,0.052539217546499935,0.03653452165892748,0.024599500003818258,0.021350375135277475
570,0.039318617830137265,0.05121997329307122,0.03511031585621733,0.02371471505881565,0.02099970147953533
580,0.05343567321025565,0.05284480711679471,0.0350882854316387,0.02343376795931132,0.020826517475409694
590,0.042780225963143036,0.05741219580730105,0.04018084277468274,0.026914284184090292,0.02225157500853989
600,0.06266475774881312,0.05682946382321524,0.03720776532614429,0.024604831851197294,0.021262283459526313
610,0.038281459770287955,0.053738868524156186,0.038137398062462836,0.025524452823896156,0.021677984257837117
620,0.02242673330873518,0.047669333187589286,0.03476307455562822,0.023695628197048253,0.021011436058716543
630,0.029136464204499835,0.047477554438837624,0.034676519878784194,0.023672618503659655,0.02100737557664364
640,0.023796803991927545,0.046062983636481716,0.034139443374925006,0.02353497347114646,0.02095377649829718
650,0.024281832612230693,0.04484041487252263,0.033358604635861135,0.02309516447593705,0.020725647914859414
660,0.02587415203731963,0.045304157546311376,0.03394875524588228,0.023424089081497457,0.0208383697394649
670,0.02531565179541904,0.04381350544907091,0.032921731650901995,0.022846721495743405,0.020635614930416504
680,0.021825897917933774,0.044193840970970566,0.0331843230219395,0.023190972866696788,0.020803311633102173
690,0.022592624123334817,0.04238599186747873,0.03165467831181691,0.022275601835110168,0.020471389212037623
